Time(s),Fx,Fy,Fz,Mx,My,Mz
3.620752,-0.0021,-0.0087,-0.0028,0.0002,0.0001,-0.0003
3.630781,-0.0032,-0.0127,-0.0105,0.0002,0.0001,-0.0003
3.640810,-0.0042,-0.0127,-0.0122,0.0003,0.0002,-0.0002
3.650838,-0.0020,-0.0109,-0.0137,0.0003,0.0001,-0.0001
3.660866,-0.0000,-0.0093,-0.0256,0.0002,0.0000,-0.0001
3.670894,0.0018,-0.0114,-0.0152,0.0001,0.0000,-0.0001
3.680922,0.0002,-0.0080,-0.0164,0.0002,0.0001,0.0000
3.690950,-0.0012,-0.0084,-0.0017,0.0004,0.0000,0.0000
3.700978,0.0007,-0.0071,-0.0095,0.0003,0.0000,-0.0000
3.711007,0.0024,-0.0094,-0.0060,0.0004,0.0000,0.0000
3.721034,0.0039,-0.0116,-0.0029,0.0003,0.0001,0.0001
3.731066,0.0053,-0.0063,-0.0159,0.0002,0.0001,0.0001
3.741094,0.0066,-0.0087,-0.0065,0.0002,0.0001,-0.0000
3.751123,0.0108,-0.0127,0.0229,0.0001,0.0002,-0.0001
3.761152,0.0146,-0.0126,0.0127,0.0000,0.0000,-0.0001
3.771181,0.0150,-0.0180,0.0034,-0.0001,-0.0001,-0.0000
3.781210,0.0153,-0.0193,-0.0154,-0.0000,-0.0002,0.0000
3.791239,0.0155,-0.0168,-0.0166,-0.0000,-0.0002,0.0002
3.801268,0.0157,-0.0145,-0.0281,-0.0000,-0.0004,0.0003
3.811297,0.0097,-0.0126,-0.0281,0.0001,-0.0003,0.0002
3.821326,0.0105,-0.0144,-0.0332,0.0001,-0.0002,0.0002
3.831354,0.0081,-0.0142,-0.0274,0.0001,-0.0002,0.0000
3.841383,0.0029,-0.0159,-0.0168,0.0000,-0.0003,-0.0001
3.851410,0.0013,-0.0156,-0.0284,0.0001,-0.0003,-0.0001
3.861443,-0.0002,-0.0153,-0.0177,0.0003,-0.0003,-0.0001
3.871472,0.0016,-0.0132,-0.0187,0.0003,-0.0003,-0.0001
3.881500,0.0032,-0.0150,-0.0196,0.0002,-0.0002,-0.0000
3.891529,0.0046,-0.0165,-0.0098,0.0003,-0.0002,-0.0001
3.901557,0.0059,-0.0143,-0.0115,0.0005,-0.0001,0.0000
3.911585,0.0040,-0.0142,-0.0236,0.0004,-0.0001,0.0000
3.921614,0.0023,-0.0140,-0.0292,0.0003,-0.0002,0.0000
3.931642,0.0007,-0.0139,-0.0291,0.0002,-0.0001,0.0000
3.941670,0.0055,-0.0102,-0.0289,0.0001,-0.0001,0.0001
3.951699,0.0068,-0.0087,-0.0340,0.0001,-0.0000,0.0002
3.961733,0.0109,-0.0055,-0.0228,0.0002,-0.0000,0.0001
3.971762,0.0085,-0.0026,-0.0285,0.0001,-0.0001,0.0001
3.981790,0.0094,-0.0018,-0.0179,0.0001,-0.0001,0.0001
3.991819,0.0071,-0.0029,-0.0188,0.0001,-0.0002,0.0001
4.001846,0.0113,-0.0039,-0.0302,0.0000,-0.0002,0.0001
4.011972,0.0151,-0.0047,-0.0299,-0.0000,-0.0001,0.0001
4.022001,0.0154,-0.0073,-0.0297,-0.0000,-0.0002,0.0001
4.032028,0.0156,-0.0060,-0.0294,-0.0000,-0.0002,0.0001
4.042056,0.0127,-0.0067,-0.0291,0.0001,-0.0003,0.0001
4.052094,0.0101,-0.0073,-0.0237,0.0000,-0.0003,0.0001
4.062123,0.0078,-0.0078,-0.0136,0.0000,-0.0002,-0.0001
4.072152,0.0057,-0.0155,-0.0202,0.0000,-0.0002,-0.0002
4.082181,0.0069,-0.0135,-0.0157,0.0000,-0.0001,-0.0002
4.092210,0.0049,-0.0134,-0.0221,0.0000,-0.0000,-0.0002
4.102239,0.0061,-0.0115,-0.0226,0.0002,-0.0001,-0.0002
4.112268,0.0073,-0.0170,-0.0178,0.0003,-0.0001,-0.0002
4.122297,0.0083,-0.0183,-0.0134,0.0003,-0.0001,-0.0003
4.132327,0.0093,-0.0159,-0.0201,0.0002,-0.0003,-0.0003
4.142356,0.0101,-0.0138,-0.0260,0.0002,-0.0002,-0.0002
4.152385,0.0109,-0.0155,-0.0314,0.0002,-0.0002,-0.0001
4.162413,0.0023,-0.0153,-0.0153,-0.0001,-0.0001,-0.0002
4.172443,0.0039,-0.0168,-0.0271,-0.0001,-0.0001,-0.0002
4.182472,0.0021,-0.0128,-0.0113,-0.0001,-0.0002,-0.0003
4.192500,0.0006,-0.0164,-0.0181,-0.0002,-0.0003,-0.0003
4.202528,0.0023,-0.0214,-0.0138,-0.0001,-0.0003,-0.0002
4.212556,0.0039,-0.0151,-0.0152,-0.0002,-0.0003,-0.0002
4.222584,0.0053,-0.0131,-0.0112,-0.0004,-0.0002,-0.0002
4.232612,0.0097,-0.0166,-0.0075,-0.0002,-0.0002,-0.0003
4.242640,0.0073,-0.0127,-0.0147,-0.0002,-0.0002,-0.0002
4.252668,0.0053,-0.0127,-0.0160,-0.0002,-0.0002,-0.0002
4.262697,0.0034,-0.0127,-0.0119,-0.0000,-0.0001,-0.0001
4.272726,0.0017,-0.0127,0.0024,0.0001,-0.0000,-0.0001
4.282754,0.0032,-0.0109,-0.0006,0.0003,0.0001,0.0000
4.292783,0.0047,-0.0129,-0.0085,0.0003,0.0001,-0.0001
4.302811,0.0091,-0.0092,0.0054,0.0003,-0.0000,-0.0002
4.312839,0.0100,-0.0078,-0.0084,0.0002,-0.0000,-0.0000
