Time(s),Fx,Fy,Fz,Mx,My,Mz
0.832406,-0.0006,-0.0070,-0.0142,0.0005,0.0001,0.0000
0.842435,-0.0019,-0.0076,-0.0049,0.0006,0.0001,0.0000
0.852464,-0.0031,-0.0046,-0.0177,0.0005,0.0000,0.0001
0.862493,-0.0041,0.0018,-0.0082,0.0003,0.0000,0.0000
0.872522,-0.0081,0.0021,-0.0101,0.0001,-0.0000,-0.0000
0.882550,-0.0086,0.0042,-0.0276,0.0001,-0.0001,0.0000
0.892578,-0.0060,0.0007,-0.0171,0.0002,0.0001,-0.0001
0.902606,-0.0067,-0.0042,-0.0076,-0.0000,0.0001,-0.0001
0.912634,-0.0073,-0.0015,-0.0044,-0.0001,0.0000,-0.0002
0.922662,-0.0079,-0.0026,-0.0119,-0.0001,0.0000,-0.0002
0.932691,-0.0085,-0.0072,0.0024,0.0001,-0.0000,-0.0002
0.942719,-0.0059,-0.0059,0.0100,0.0003,-0.0000,-0.0003
0.952748,-0.0066,-0.0102,0.0168,0.0002,-0.0001,-0.0005
0.962777,-0.0042,-0.0086,0.0124,0.0002,-0.0000,-0.0003
0.972806,-0.0082,-0.0073,0.0241,0.0001,0.0000,-0.0003
0.982834,-0.0088,-0.0043,0.0190,0.0002,0.0001,-0.0004
0.992862,-0.0061,-0.0033,0.0091,0.0002,0.0001,-0.0002
1.003000,-0.0037,-0.0025,-0.0050,0.0003,0.0001,-0.0001
1.013029,-0.0016,-0.0017,-0.0178,0.0003,0.0000,0.0001
1.023065,-0.0028,-0.0028,-0.0082,0.0004,-0.0001,0.0001
1.033094,-0.0008,-0.0055,-0.0101,0.0003,-0.0002,0.0001
1.043123,-0.0020,-0.0098,-0.0275,0.0003,-0.0002,0.0002
1.053153,-0.0031,-0.0101,-0.0328,0.0002,-0.0003,0.0002
1.063182,0.0021,-0.0068,-0.0375,0.0002,-0.0003,0.0003
1.073212,-0.0026,-0.0092,-0.0365,0.0002,-0.0003,0.0001
1.083242,-0.0036,-0.0060,-0.0513,-0.0000,-0.0004,0.0002
1.093272,-0.0015,-0.0048,-0.0594,0.0001,-0.0004,0.0003
1.103301,-0.0027,-0.0020,-0.0562,0.0001,-0.0004,0.0003
1.113329,-0.0007,0.0023,-0.0480,0.0003,-0.0004,0.0003
1.123358,0.0011,0.0026,-0.0512,0.0003,-0.0003,0.0002
1.133388,0.0059,0.0011,-0.0488,0.0002,-0.0002,0.0002
1.143416,0.0040,-0.0003,-0.0414,0.0003,-0.0002,0.0002
1.153444,0.0085,-0.0051,-0.0242,0.0001,-0.0001,-0.0001
1.163473,0.0063,-0.0059,-0.0245,0.0001,-0.0002,-0.0001
1.173502,0.0075,-0.0083,-0.0195,0.0002,-0.0002,-0.0002
1.183531,0.0054,-0.0088,-0.0150,0.0003,-0.0002,-0.0001
1.193560,0.0066,-0.0109,-0.0320,0.0003,-0.0003,-0.0001
1.203589,0.0078,-0.0129,-0.0211,0.0001,-0.0002,-0.0002
1.213618,0.0087,-0.0111,-0.0111,0.0002,-0.0002,-0.0002
1.223647,0.0034,-0.0095,-0.0286,0.0001,-0.0001,-0.0002
1.233675,0.0017,-0.0062,-0.0179,0.0001,-0.0001,-0.0003
1.243704,0.0034,-0.0087,-0.0084,0.0001,-0.0001,-0.0004
1.253733,-0.0015,-0.0073,0.0002,0.0002,0.0001,-0.0004
1.263762,-0.0026,-0.0079,-0.0078,0.0002,0.0001,-0.0004
1.273790,-0.0006,-0.0030,-0.0150,0.0002,0.0001,-0.0003
1.283818,-0.0019,-0.0004,-0.0109,0.0002,0.0001,-0.0004
1.293847,0.0001,-0.0034,-0.0178,0.0001,-0.0000,-0.0003
1.303875,-0.0012,-0.0007,-0.0293,0.0000,-0.0001,-0.0002
1.313904,-0.0055,-0.0002,-0.0449,-0.0001,-0.0001,-0.0001
1.323932,-0.0063,-0.0014,-0.0431,-0.0001,-0.0002,-0.0000
1.333960,-0.0070,0.0011,-0.0153,-0.0001,-0.0002,-0.0002
1.343989,-0.0107,0.0014,-0.0113,-0.0002,-0.0000,-0.0002
1.354017,-0.0110,-0.0000,0.0028,-0.0004,0.0000,-0.0002
1.364046,-0.0081,0.0005,-0.0002,-0.0004,-0.0000,-0.0002
1.374087,-0.0086,-0.0008,-0.0029,-0.0005,-0.0001,-0.0002
1.384116,-0.0090,-0.0020,-0.0001,-0.0005,-0.0001,-0.0002
1.394145,-0.0064,-0.0049,0.0077,-0.0004,0.0000,-0.0001
1.404174,-0.0071,-0.0021,-0.0011,-0.0004,0.0001,0.0000
1.414204,-0.0046,-0.0014,-0.0090,-0.0005,0.0001,0.0001
1.424233,-0.0024,-0.0007,-0.0056,-0.0003,0.0000,0.0002
